idQuestion,question,answer,label
shiq1,Do you offer free shipping?,"Yes, we offer free shipping for orders above a certain amount. Check our shipping policy for more details.",shipping
shiq2,How long does shipping take?,"Standard shipping takes 5-7 business days, while expedited shipping takes 2-3 business days.",shipping
shiq3,Do you offer same-day delivery?,Same-day delivery is available in certain areas for orders placed before noon.,shipping
shiq4,Do you offer international shipping?,"Yes, we ship internationally to over 50 countries.",shipping
shiq5,How can I track my order?,You will receive a tracking number via email once your order has been shipped.,shipping
shiq6,Can I change my shipping address after placing an order?,Shipping addresses can be changed before the order has been dispatched. Contact customer service for assistance.,shipping
shiq7,Do you ship to P.O. boxes?,"Yes, we ship to P.O. boxes for some items. Please verify eligibility during checkout.",shipping
shiq8,Is expedited shipping available?,"Yes, expedited shipping is available for faster delivery.",shipping
shiq9,Can I pick up my order in-store?,"Yes, you can choose in-store pickup for some products at no extra charge.",shipping
shiq10,Do you ship to APO/FPO addresses?,"Yes, we do ship to military addresses.",shipping
shiq11,Can I ship my order to multiple addresses?,"At the moment, we only allow one shipping address per order.",shipping
shiq12,What is the cost of shipping?,Shipping costs vary depending on the destination and the size of the order. You can check the shipping cost at checkout.,shipping
shiq13,Can I ship a gift to someone else?,"Yes, you can select a different shipping address at checkout and even include a gift message.",shipping
shiq14,How do I change my shipping method?,You can change the shipping method before the order is processed by contacting customer service.,shipping
shiq15,What happens if my package is lost or damaged during shipping?,"If your package is lost or damaged, please contact customer support to file a claim.",shipping
shiq16,Can I expedite shipping after placing an order?,"If the order has not yet been shipped, you can contact us to expedite the shipping.",shipping
shiq17,What countries do you ship to?,We ship to more than 50 countries. You can view the full list on our website.,shipping
shiq18,Do you offer gift wrapping?,"Yes, we offer gift wrapping for most items.",shipping
shiq19,What happens if the shipping carrier doesn’t deliver on time?,"If the shipping carrier delays your package, please contact us for assistance and we will help resolve the issue.",shipping
shiq20,Do you deliver on weekends?,"We offer weekend delivery for certain locations, depending on the shipping service chosen.",shipping
shiq21,Can I request a specific delivery time?,"Specific delivery times can be requested with certain shipping carriers, depending on the location.",shipping
shiq22,How do I know when my order has been shipped?,You will receive an email notification with tracking information once your order has been shipped.,shipping
shiq23,Can I redirect my package if I am not home?,"Yes, you can contact the shipping carrier to reroute the package to a different address.",shipping
shiq24,What is the delivery time for international orders?,International shipping typically takes 7-14 business days depending on the destination.,shipping
shiq25,Do you offer express international shipping?,"Yes, express international shipping is available for most destinations.",shipping
shiq26,How do I change my delivery address after shipping?,"Once the order is shipped, it is difficult to change the delivery address. Contact customer support for assistance.",shipping
shiq27,Can I ship items separately?,"Yes, some products may be shipped separately if they come from different warehouses.",shipping
shiq28,Do you offer overnight shipping?,"Yes, overnight shipping is available for urgent orders.",shipping
shiq29,What should I do if I provided the wrong address?,"If you realize you've provided the wrong address, contact us immediately to correct it before shipping.",shipping
shiq30,Do you provide shipping insurance?,"Yes, shipping insurance is available for an additional fee.",shipping
shiq31,Can I ship to an address outside my home country?,"Yes, we offer international shipping to many countries worldwide.",shipping
shiq32,What should I do if my tracking number isn’t working?,"Please contact customer service if your tracking number isn’t working, and we’ll assist you.",shipping
shiq33,How do I know if my order is eligible for free shipping?,Free shipping applies to orders above a certain value. You can check the eligibility at checkout.,shipping
shiq34,Can I change the shipping method after placing an order?,You may be able to modify the shipping method before the order is processed by contacting our support team.,shipping
shiq35,Do you deliver to hotels or businesses?,"Yes, we deliver to hotels and businesses. Ensure you provide accurate details when placing your order.",shipping
shiq36,Can I schedule a delivery time?,Some shipping methods allow you to schedule a delivery window. Check the available options during checkout.,shipping
shiq37,How do I cancel shipping after placing an order?,You can cancel your order before it ships by contacting our customer service team.,shipping
shiq38,Can I track my international order?,"Yes, all international orders come with a tracking number that you can use to monitor the shipment.",shipping
